neighborhood;commune id
1;12
2;12
3;15
5;8
7;16
8;13
9;10
16;4
18;6
19;19
20;6
21;10
22;2
24;1
28;17
31;12
32;12
33;21
34;15
35;5
36;14
37;21
41;12
43;19
44;18
47;4
48;6
49;17
51;14
52;11
53;7
54;1
55;18
56;16
57;1
60;13
62;16
63;12
64;2
65;20
67;17
68;18
69;5
70;1
71;15
72;20
73;20
74;3
75;6
76;6
77;3
78;4
80;11
81;5
82;13
83;5
84;15
86;16
87;17
88;11
90;15
91;15
92;18
94;8
95;17
96;8
97;15
99;7
100;11
101;9
102;19
103;4
104;2
105;14
107;18
108;6
109;15
111;14
112;11
113;4
115;7
117;4
118;8
119;10
120;13
121;12
122;6
124;4
126;4
127;14
129;14
130;19
131;19
132;2
133;20
134;4
135;15
136;13
137;18
138;19
139;13
140;10
141;6
142;6
143;2
144;3
145;16
146;10
148;13
149;6
150;20
151;9
152;2
153;9
154;14
155;8
156;20
157;7
158;15
159;15
160;16
161;10
162;18
163;6
164;20
165;14
166;18
167;9
168;4
169;16
170;3
171;21
172;20
173;12
174;17
175;19
176;17
177;5
178;1
179;7
180;14
181;14
182;20
183;15
184;5
185;4
186;19
187;14
188;12
189;16
190;12
191;14
192;13
193;5
194;5
195;4
196;8
197;7
198;3
199;16
200;20
201;5
202;16
203;7
204;16
205;7
206;8
207;20
208;18
209;3
211;10
212;1
213;4
214;6
217;21
218;6
219;18
220;9
221;9
222;2
223;8
225;1
228;8
229;2
230;21
231;4
232;21
233;13
234;21
235;19
236;15
237;21
238;18
239;16
241;21
243;4
244;18
245;20
246;11
247;2
248;6
249;18
250;9
251;6
252;10
253;2
254;12
255;13
256;7
257;19
258;3
259;14
260;11
261;21
262;8
263;5
264;2
265;2
267;1
268;9
269;13
270;17
271;16
272;15
273;1
274;2
275;3
276;11
277;17
279;16
280;17
282;14
283;21
284;12
285;19
286;7
287;10
288;13
289;8
290;15
291;11
292;1
293;18
294;20
295;14
296;16
297;20
298;15
299;4
301;17
302;1
303;16
304;6
305;11
306;21
307;11
308;20
309;3
310;10
311;12
312;4
313;15
314;2
315;7
316;3
318;12
319;8
320;2
321;20
322;16
323;9
324;16
325;18
326;10
327;20
329;7
331;13
333;1
336;7
337;8
338;15
339;2
341;2
343;5
344;17
345;9
346;19
347;9
348;18
349;9
350;8
351;6
352;8
354;16
356;21
357;7
358;17
359;10
360;6
361;20
362;6
363;5
364;6
366;14
367;20
368;21
369;12
370;17
371;9
372;4
373;13
374;21
375;11
376;2
377;13
378;17
379;8
380;6
381;10
382;15
383;11
384;3
385;1
386;18
387;11
388;11
389;13
390;8
391;17
392;3
393;14
394;17
395;7
396;19
398;1
399;19
400;2
401;13
402;18
403;8
404;15
405;8
406;11
408;15
409;12
410;11
411;21
412;7
413;20
415;5
416;5
417;1
419;19
420;9
421;7
422;6
423;16
424;20
425;13
426;21
427;7
428;11
429;7
430;19
432;9
433;10
436;13
439;14
441;17
442;17
444;13
445;10
446;1
448;17
450;14
451;17
452;11
453;17
454;5
456;1
457;19
458;13
459;2
460;1
461;1
462;18
463;3
464;9
465;11
467;3
468;19
469;3
470;15
471;12
472;19
473;2
474;19
476;15
477;9
480;16
482;18
501;6
600;21
601;5
602;18
603;18
605;9
609;11
610;19
614;18
615;13
616;9
617;6
619;21
621;18
622;5
624;20
625;21
628;9
629;9
630;8
631;20
632;9
633;3
634;12
636;18
637;20
638;6
639;4
640;1
641;10
642;15
644;20
645;1
648;5
802;3
806;3
807;13
810;15
4;17
6;16
10;15
11;6
12;19
13;14
14;18
15;16
17;11
23;16
25;16
26;5
27;19
29;19
30;11
38;2
39;14
40;19
42;16
45;15
46;20
50;1
58;21
59;18
61;12
66;3
79;4
93;11
106;15
110;18
114;14
116;14
123;10
125;9
128;8
210;15
215;7
216;14
224;18
226;15
227;1
242;13
278;1
281;1
300;4
317;7
328;3
330;6
334;12
340;18
342;9
353;18
355;17
365;21
397;2
407;3
414;10
431;16
434;6
435;1
437;14
438;20
440;2
443;19
447;6
449;15
455;6
466;20
604;1
606;2
607;21
608;7
611;5
612;20
613;9
620;18
623;8
626;6
627;5
635;14
651;2
